"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene_symbol"
"Plppr5",1.64036459741625e-10,0.154153958705769,0.314,0.21,4.59269279984602e-06,"Plppr5"
"Pygb",1.64156677234111e-10,0.142310946363303,0.265,0.172,4.59605864920063e-06,"Pygb"
"Gcn1l1",1.65522500644228e-10,0.152390054887633,0.286,0.19,4.63429897303708e-06,"Gcn1l1"
"Zeb2",1.6552518731883e-10,-0.254932006273673,0.187,0.303,4.63437419455259e-06,"Zeb2"
"Snd1",1.65612665512135e-10,0.175641769841919,0.318,0.219,4.63682340900875e-06,"Snd1"
"Zbtb7c",1.66003426978864e-10,0.0825236499410076,0.105,0.05,4.64776394855425e-06,"Zbtb7c"
"Rnf5",1.66786778722024e-10,0.197190545472016,0.624,0.508,4.66969623065923e-06,"Rnf5"
"Pkp4",1.72908658784685e-10,0.202950997478219,0.374,0.273,4.84109662865361e-06,"Pkp4"
"Tmem5",1.73244722420379e-10,0.201338728032064,0.543,0.43,4.85050573832578e-06,"Tmem5"
"Pogz",1.73355070082813e-10,0.128279792504746,0.274,0.177,4.85359525217859e-06,"Pogz"
"Arntl",1.77913284677311e-10,0.112761710803089,0.177,0.101,4.98121614439535e-06,"Arntl"
"Ing3",1.78458195332489e-10,0.152433077188281,0.245,0.156,4.99647255291902e-06,"Ing3"
"Tlk2",1.78589289122099e-10,0.150693829289818,0.286,0.189,5.00014291684052e-06,"Tlk2"
"Farsa",1.79730569000976e-10,0.148765685206766,0.321,0.218,5.03209647088933e-06,"Farsa"
"Porcn",1.8090819678421e-10,0.129820380230954,0.248,0.157,5.06506769356431e-06,"Porcn"
"Nf1",1.83501309668443e-10,0.170852786872234,0.431,0.319,5.13766966809706e-06,"Nf1"
"Wdr43",1.83533948963703e-10,0.174426764467971,0.376,0.268,5.13858350308575e-06,"Wdr43"
"Hltf",1.83872099736745e-10,0.12395057892022,0.231,0.143,5.1480510484294e-06,"Hltf"
"3110021N24Rik",1.84408510872412e-10,0.149652567153828,0.222,0.137,5.1630694874058e-06,"3110021N24Rik"
"Nxf1",1.85734581979428e-10,0.196584302561585,0.586,0.475,5.20019682626002e-06,"Nxf1"
"Ddx52",1.85855220245813e-10,0.138262703922708,0.257,0.165,5.20357445644228e-06,"Ddx52"
"Rpl27-ps3",1.89902967983832e-10,0.211128978712232,0.528,0.426,5.31690329761132e-06,"Rpl27-ps3"
"Usp20",1.90707452288276e-10,0.163321478410568,0.277,0.184,5.33942724916714e-06,"Usp20"
"Tbl3",1.91961957948877e-10,0.125394984110391,0.219,0.134,5.37455089865266e-06,"Tbl3"
"Atg9a",1.94089868950626e-10,0.158915453528323,0.336,0.234,5.43412815087962e-06,"Atg9a"
"Cdk13",1.94533949253726e-10,0.131024272311011,0.282,0.183,5.44656151120583e-06,"Cdk13"
"Cthrc1",1.95260504342347e-10,0.135500827656072,0.205,0.123,5.46690360057704e-06,"Cthrc1"
"Cntnap4",1.96666695018453e-10,0.134827494898636,0.21,0.127,5.50627412712664e-06,"Cntnap4"
"Psme4",1.96996248434236e-10,0.131930235414706,0.257,0.165,5.51550096366173e-06,"Psme4"
"Cgrrf1",1.97091468280747e-10,0.174783598346636,0.315,0.217,5.51816692892436e-06,"Cgrrf1"
"Gpatch2l",2.01411092020514e-10,0.0752768927463402,0.111,0.054,5.63910775439035e-06,"Gpatch2l"
"Zfp62",2.01890521647535e-10,0.145047845796498,0.242,0.154,5.65253082508769e-06,"Zfp62"
"Chmp6",2.02514646576548e-10,0.156245014177492,0.263,0.171,5.67000507485019e-06,"Chmp6"
"Hars2",2.03459972561446e-10,0.109392688732544,0.186,0.108,5.69647231177536e-06,"Hars2"
"Dgkg",2.05237517897564e-10,0.156334122412949,0.289,0.19,5.746240026096e-06,"Dgkg"
"5330417C22Rik",2.07971567563292e-10,0.128218265790767,0.215,0.131,5.82278794863704e-06,"5330417C22Rik"
"AI837181",2.09291742947477e-10,0.150308463339902,0.233,0.147,5.85975021904346e-06,"AI837181"
"Ttyh2",2.10064618021966e-10,-0.285400920689074,0.081,0.174,5.88138917537902e-06,"Ttyh2"
"Etfa",2.12116967317146e-10,0.176823332592375,0.365,0.261,5.93885085094545e-06,"Etfa"
"Hmgcs1",2.12551091698252e-10,0.172667094481793,0.705,0.597,5.95100546536767e-06,"Hmgcs1"
"Mettl6",2.14002670380198e-10,0.117250208331012,0.196,0.116,5.99164676530479e-06,"Mettl6"
"S100a10",2.1403145552729e-10,0.177286786324491,0.199,0.119,5.99245269185307e-06,"S100a10"
"Sfmbt1",2.14930626058654e-10,0.15241509433987,0.221,0.138,6.0176276683902e-06,"Sfmbt1"
"9430016H08Rik",2.15149097009808e-10,0.124719253829585,0.245,0.154,6.0237444180806e-06,"9430016H08Rik"
